,P
2017-01-08 20:10:00+08:00,1.201176000009582
2017-01-11 16:45:00+08:00,1.218756000045687
2017-01-11 16:55:00+08:00,1.207031999983883
2017-01-11 17:05:00+08:00,1.201176000009582
2017-01-11 18:00:00+08:00,2.414063999967766
2017-01-11 18:05:00+08:00,12.0
2017-01-11 18:10:00+08:00,1.2011639999946055
2017-01-11 19:00:00+08:00,1.207031999983883
2017-01-11 19:10:00+08:00,1.195319999991625
2017-01-11 19:15:00+08:00,1.125
2017-01-11 19:25:00+08:00,12.0
2017-01-11 20:00:00+08:00,1.1953080000093905
2017-01-11 20:05:00+08:00,12.0
2017-01-11 20:10:00+08:00,1.2011639999946055
2017-01-11 20:25:00+08:00,1.218756000045687
2017-01-11 20:30:00+08:00,12.0
2017-01-11 21:05:00+08:00,1.1953080000093905
2017-01-11 21:15:00+08:00,1.201176000009582
2017-01-11 21:35:00+08:00,13.218743999954313
2017-01-11 22:05:00+08:00,1.207031999983883
2017-01-11 22:15:00+08:00,1.201176000009582
2017-01-11 22:50:00+08:00,1.218756000045687
2017-01-11 23:05:00+08:00,1.195320000013453
2017-01-11 23:15:00+08:00,12.0
2017-01-11 23:20:00+08:00,1.2011639999946055
2017-01-12 00:00:00+08:00,1.218743999954313
2017-01-12 00:10:00+08:00,1.207031999983883
2017-01-12 00:20:00+08:00,1.195319999991625
2017-01-12 00:50:00+08:00,12.0
2017-01-12 01:10:00+08:00,1.1953080000093905
2017-01-12 01:15:00+08:00,1.125
2017-01-12 01:25:00+08:00,1.2011639999946055
2017-01-12 02:15:00+08:00,1.1953080000093905
2017-01-12 02:25:00+08:00,25.201176000009582
2017-01-12 02:30:00+08:00,1.218756000045687
2017-01-12 03:15:00+08:00,1.207031999983883
2017-01-12 03:30:00+08:00,1.201176000009582
2017-01-12 03:40:00+08:00,1.218743999954313
2017-01-12 04:00:00+08:00,12.0
2017-01-12 04:20:00+08:00,1.195320000013453
2017-01-12 04:30:00+08:00,1.2011639999946055
2017-01-12 04:55:00+08:00,1.218756000045687
2017-01-12 05:20:00+08:00,1.207031999983883
2017-01-12 05:35:00+08:00,1.195319999991625
2017-01-12 05:40:00+08:00,12.0
2017-01-12 06:10:00+08:00,1.218743999954313
2017-01-12 06:25:00+08:00,1.1953080000093905
2017-01-12 06:35:00+08:00,1.2011639999946055
2017-01-12 06:50:00+08:00,12.0
2017-01-12 07:25:00+08:00,1.125
2017-01-12 07:30:00+08:00,1.1953080000093905
2017-01-12 07:40:00+08:00,1.201176000009582
2017-01-12 08:05:00+08:00,12.0
2017-01-12 08:30:00+08:00,1.207031999983883
2017-01-12 08:40:00+08:00,13.218756000045687
2017-01-12 08:45:00+08:00,1.201176000009582
2017-01-12 09:20:00+08:00,12.0
2017-01-12 09:35:00+08:00,1.195320000013453
2017-01-12 09:50:00+08:00,1.2011639999946055
2017-01-12 09:55:00+08:00,1.218743999954313
2017-01-12 10:20:00+08:00,12.0
2017-01-12 10:40:00+08:00,1.207031999983883
2017-01-12 10:55:00+08:00,1.195319999991625
2017-01-12 11:10:00+08:00,1.218756000045687
2017-01-12 11:45:00+08:00,1.1953080000093905
2017-01-12 11:55:00+08:00,13.201163999994606
2017-01-12 12:20:00+08:00,1.218743999954313
2017-01-12 12:45:00+08:00,1.1953080000093905
2017-01-12 13:00:00+08:00,1.201176000009582
2017-01-12 13:35:00+08:00,13.125
2017-01-12 13:50:00+08:00,1.207031999983883
2017-01-12 14:05:00+08:00,1.201176000009582
2017-01-12 14:50:00+08:00,2.41407600005914
2017-01-12 15:05:00+08:00,1.2011639999946055
2017-01-12 15:10:00+08:00,12.0
2017-01-12 15:55:00+08:00,1.207031999983883
2017-01-12 16:00:00+08:00,1.218743999954313
2017-01-12 16:10:00+08:00,13.195319999991625
2017-01-12 16:45:00+08:00,12.0
2017-01-12 16:55:00+08:00,1.1953080000093905
2017-01-12 17:10:00+08:00,1.2011639999946055
2017-01-12 17:15:00+08:00,1.218756000045687
2017-01-12 18:00:00+08:00,1.1953080000093905
2017-01-12 18:15:00+08:00,13.201176000009582
2017-01-12 18:30:00+08:00,1.218743999954313
2017-01-12 19:05:00+08:00,1.207031999983883
2017-01-12 19:20:00+08:00,1.201176000009582
2017-01-12 19:25:00+08:00,12.0
2017-01-12 19:45:00+08:00,1.125
2017-01-12 20:05:00+08:00,1.195320000013453
2017-01-12 20:25:00+08:00,1.2011639999946055
2017-01-12 20:35:00+08:00,12.0
2017-01-12 21:00:00+08:00,1.218756000045687
2017-01-12 21:10:00+08:00,1.207031999983883
2017-01-12 21:25:00+08:00,1.195319999991625
2017-01-12 21:45:00+08:00,12.0
2017-01-12 21:50:00+08:00,12.0
2017-01-12 22:10:00+08:00,1.1953080000093905
2017-01-12 22:15:00+08:00,1.218743999954313
2017-01-12 22:30:00+08:00,1.2011639999946055
2017-01-12 23:15:00+08:00,1.1953080000093905
2017-01-12 23:25:00+08:00,13.218756000045687
2017-01-12 23:30:00+08:00,1.201176000009582
2017-01-13 00:15:00+08:00,1.207031999983883
2017-01-13 00:35:00+08:00,1.201176000009582
2017-01-13 00:40:00+08:00,1.218743999954313
2017-01-13 01:00:00+08:00,12.0
2017-01-13 01:20:00+08:00,1.195320000013453
2017-01-13 01:35:00+08:00,1.2011639999946055
2017-01-13 01:50:00+08:00,1.125
2017-01-13 02:20:00+08:00,1.207031999983883
2017-01-13 02:35:00+08:00,13.195319999991625
2017-01-13 03:00:00+08:00,1.218756000045687
2017-01-13 03:20:00+08:00,1.1953080000093905
2017-01-13 03:40:00+08:00,1.2011639999946055
2017-01-13 03:55:00+08:00,12.0
2017-01-13 04:10:00+08:00,12.0
2017-01-13 04:15:00+08:00,1.218743999954313
2017-01-13 04:25:00+08:00,1.1953080000093905
2017-01-13 04:40:00+08:00,1.201176000009582
2017-01-13 05:25:00+08:00,1.207031999983883
2017-01-13 05:30:00+08:00,1.218756000045687
2017-01-13 05:35:00+08:00,12.0
2017-01-13 05:45:00+08:00,1.201176000009582
2017-01-13 06:30:00+08:00,1.195320000013453
2017-01-13 06:40:00+08:00,13.218743999954313
2017-01-13 06:50:00+08:00,1.2011639999946055
2017-01-13 07:35:00+08:00,1.207031999983883
2017-01-13 07:50:00+08:00,12.0
2017-01-13 07:55:00+08:00,1.195319999991625
2017-01-13 08:00:00+08:00,1.125
2017-01-13 08:35:00+08:00,1.1953080000093905
2017-01-13 08:55:00+08:00,1.2011639999946055
2017-01-13 09:15:00+08:00,1.218756000045687
2017-01-13 09:20:00+08:00,12.0
2017-01-13 09:40:00+08:00,1.1953080000093905
2017-01-13 10:00:00+08:00,1.201176000009582
2017-01-13 10:25:00+08:00,13.218743999954313
2017-01-13 10:45:00+08:00,1.207031999983883
2017-01-13 11:05:00+08:00,1.201176000009582
2017-01-13 11:25:00+08:00,12.0
2017-01-13 11:45:00+08:00,1.218756000045687
2017-01-13 11:50:00+08:00,1.195320000013453
2017-01-13 12:00:00+08:00,12.0
2017-01-13 12:10:00+08:00,1.2011639999946055
2017-01-13 12:50:00+08:00,1.207031999983883
2017-01-13 13:00:00+08:00,1.218743999954313
2017-01-13 13:10:00+08:00,1.195319999991625
2017-01-13 13:40:00+08:00,12.0
2017-01-13 13:55:00+08:00,1.1953080000093905
2017-01-13 14:10:00+08:00,1.125
2017-01-13 14:15:00+08:00,1.2011639999946055
2017-01-13 14:55:00+08:00,1.1953080000093905
2017-01-13 15:15:00+08:00,12.0
2017-01-13 15:20:00+08:00,1.201176000009582
2017-01-13 15:25:00+08:00,1.218756000045687
2017-01-13 16:00:00+08:00,1.207031999983883
2017-01-13 16:20:00+08:00,1.201176000009582
2017-01-13 16:40:00+08:00,1.218743999954313
2017-01-13 16:55:00+08:00,12.0
2017-01-13 17:05:00+08:00,1.195320000013453
2017-01-13 17:25:00+08:00,1.2011639999946055
2017-01-13 17:40:00+08:00,12.0
2017-01-13 17:55:00+08:00,1.218756000045687
2017-01-13 18:05:00+08:00,13.207031999983883
2017-01-13 18:25:00+08:00,1.195319999991625
2017-01-13 19:05:00+08:00,1.1953080000093905
2017-01-13 19:10:00+08:00,1.218743999954313
2017-01-13 19:15:00+08:00,12.0
2017-01-13 19:30:00+08:00,1.2011639999946055
2017-01-13 20:10:00+08:00,1.1953080000093905
2017-01-13 20:20:00+08:00,1.125
2017-01-13 20:25:00+08:00,12.0
2017-01-13 20:35:00+08:00,1.201176000009582
2017-01-13 21:15:00+08:00,1.207031999983883
2017-01-13 21:30:00+08:00,1.218756000045687
2017-01-13 21:35:00+08:00,1.201176000009582
2017-01-13 22:00:00+08:00,12.0
2017-01-13 22:15:00+08:00,1.195320000013453
2017-01-13 22:35:00+08:00,1.2011639999946055
2017-01-13 22:45:00+08:00,1.218743999954313
2017-01-13 23:15:00+08:00,1.207031999983883
2017-01-13 23:35:00+08:00,12.0
2017-01-13 23:40:00+08:00,1.195319999991625
2017-01-14 00:00:00+08:00,1.218756000045687
2017-01-14 00:20:00+08:00,1.1953080000093905
2017-01-14 00:40:00+08:00,1.2011639999946055
2017-01-14 00:45:00+08:00,12.0
2017-01-14 01:10:00+08:00,1.218743999954313
2017-01-14 01:15:00+08:00,12.0
2017-01-14 01:20:00+08:00,1.1953080000093905
2017-01-14 01:45:00+08:00,1.201176000009582
2017-01-14 02:25:00+08:00,2.332031999983883
2017-01-14 02:45:00+08:00,1.201176000009582
2017-01-14 02:50:00+08:00,12.0
2017-01-14 03:25:00+08:00,1.195320000013453
2017-01-14 03:35:00+08:00,1.218756000045687
2017-01-14 03:50:00+08:00,1.2011639999946055
2017-01-14 04:15:00+08:00,12.0
2017-01-14 04:30:00+08:00,1.207031999983883
2017-01-14 04:50:00+08:00,2.414063999945938
2017-01-14 05:25:00+08:00,12.0
2017-01-14 05:30:00+08:00,1.1953080000093905
2017-01-14 05:55:00+08:00,1.2011639999946055
2017-01-14 06:05:00+08:00,1.218756000045687
2017-01-14 06:30:00+08:00,12.0
2017-01-14 06:35:00+08:00,1.1953080000093905
2017-01-14 06:55:00+08:00,1.201176000009582
2017-01-14 07:00:00+08:00,12.0
2017-01-14 07:15:00+08:00,1.218743999954313
2017-01-14 07:35:00+08:00,1.207031999983883
2017-01-14 08:00:00+08:00,13.201176000009582
2017-01-14 08:30:00+08:00,1.125
2017-01-14 08:40:00+08:00,1.195320000013453
2017-01-14 09:05:00+08:00,1.2011639999946055
2017-01-14 09:35:00+08:00,12.0
2017-01-14 09:45:00+08:00,2.42578800002957
2017-01-14 10:10:00+08:00,1.195319999991625
2017-01-14 10:30:00+08:00,12.0
2017-01-14 10:45:00+08:00,1.1953080000093905
2017-01-14 11:00:00+08:00,1.218743999954313
2017-01-14 11:15:00+08:00,1.2011639999946055
2017-01-14 11:50:00+08:00,1.1953080000093905
2017-01-14 12:10:00+08:00,12.0
2017-01-14 12:15:00+08:00,2.419932000055269
2017-01-14 12:55:00+08:00,1.207031999983883
2017-01-14 13:20:00+08:00,13.201176000009582
2017-01-14 13:30:00+08:00,1.218743999954313
2017-01-14 13:45:00+08:00,12.0
2017-01-14 14:00:00+08:00,1.195320000013453
2017-01-14 14:25:00+08:00,1.2011639999946055
2017-01-14 14:45:00+08:00,1.125
2017-01-14 15:00:00+08:00,1.207031999983883
2017-01-14 15:25:00+08:00,13.195319999991625
2017-01-14 16:00:00+08:00,1.218756000045687
2017-01-14 16:05:00+08:00,1.1953080000093905
2017-01-14 16:30:00+08:00,1.2011639999946055
2017-01-14 16:55:00+08:00,12.0
2017-01-14 17:05:00+08:00,1.1953080000093905
2017-01-14 17:15:00+08:00,1.218743999954313
2017-01-14 17:30:00+08:00,1.201176000009582
2017-01-14 18:05:00+08:00,12.0
2017-01-14 18:10:00+08:00,1.207031999983883
2017-01-14 18:30:00+08:00,1.218756000045687
2017-01-14 18:35:00+08:00,1.201176000009582
2017-01-14 19:15:00+08:00,13.195320000013453
2017-01-14 19:40:00+08:00,2.4199079999489186
2017-01-14 20:10:00+08:00,12.0
2017-01-14 20:15:00+08:00,1.207031999983883
2017-01-14 20:35:00+08:00,12.0
2017-01-14 20:40:00+08:00,1.195319999991625
2017-01-14 20:55:00+08:00,1.125
2017-01-14 21:20:00+08:00,1.1953080000093905
2017-01-14 21:45:00+08:00,1.2011639999946055
2017-01-14 22:10:00+08:00,1.218756000045687
2017-01-14 22:15:00+08:00,12.0
2017-01-14 22:20:00+08:00,1.1953080000093905
2017-01-14 22:45:00+08:00,1.201176000009582
2017-01-14 23:20:00+08:00,1.218743999954313
2017-01-14 23:25:00+08:00,1.207031999983883
2017-01-14 23:50:00+08:00,13.201176000009582
2017-01-15 00:30:00+08:00,1.195320000013453
2017-01-15 00:35:00+08:00,1.218756000045687
2017-01-15 00:50:00+08:00,1.2011639999946055
2017-01-15 01:30:00+08:00,13.207031999983883
2017-01-15 01:50:00+08:00,1.218743999954313
2017-01-15 01:55:00+08:00,1.195319999991625
2017-01-15 02:30:00+08:00,13.19530800000939
2017-01-15 02:55:00+08:00,1.2011639999946055
2017-01-15 03:00:00+08:00,1.125
2017-01-15 03:05:00+08:00,12.0
2017-01-15 03:35:00+08:00,1.1953080000093905
2017-01-15 04:00:00+08:00,1.201176000009582
2017-01-15 04:15:00+08:00,1.218756000045687
2017-01-15 04:30:00+08:00,12.0
2017-01-15 04:35:00+08:00,1.207031999983883
2017-01-15 05:00:00+08:00,1.201176000009582
2017-01-15 05:25:00+08:00,1.218743999954313
2017-01-15 05:35:00+08:00,12.0
2017-01-15 05:40:00+08:00,1.195320000013453
2017-01-15 06:00:00+08:00,1.2011639999946055
2017-01-15 06:40:00+08:00,14.42578800002957
2017-01-15 07:05:00+08:00,1.195319999991625
2017-01-15 07:45:00+08:00,1.1953080000093905
2017-01-15 07:55:00+08:00,1.218743999954313
2017-01-15 08:10:00+08:00,1.2011639999946055
2017-01-15 08:15:00+08:00,12.0
2017-01-15 08:45:00+08:00,1.1953080000093905
2017-01-15 09:10:00+08:00,2.326176000009582
2017-01-15 09:50:00+08:00,1.207031999983883
2017-01-15 09:55:00+08:00,12.0
2017-01-15 10:05:00+08:00,12.0
2017-01-15 10:15:00+08:00,1.201176000009582
2017-01-15 10:20:00+08:00,1.218756000045687
2017-01-15 10:55:00+08:00,1.195320000013453
2017-01-15 11:20:00+08:00,1.2011639999946055
2017-01-15 11:25:00+08:00,12.0
2017-01-15 11:40:00+08:00,1.218743999954313
2017-01-15 12:00:00+08:00,1.207031999983883
2017-01-15 12:20:00+08:00,1.195319999991625
2017-01-15 12:35:00+08:00,12.0
2017-01-15 12:50:00+08:00,1.218756000045687
2017-01-15 13:00:00+08:00,1.1953080000093905
2017-01-15 13:25:00+08:00,1.2011639999946055
2017-01-15 13:45:00+08:00,12.0
2017-01-15 14:05:00+08:00,2.4140519999637036
2017-01-15 14:30:00+08:00,1.201176000009582
2017-01-15 15:05:00+08:00,1.207031999983883
2017-01-15 15:10:00+08:00,12.0
2017-01-15 15:20:00+08:00,1.125
2017-01-15 15:30:00+08:00,1.201176000009582
2017-01-15 16:10:00+08:00,1.195320000013453
2017-01-15 16:20:00+08:00,12.0
2017-01-15 16:35:00+08:00,2.4199200000402925
2017-01-15 16:50:00+08:00,12.0
2017-01-15 17:15:00+08:00,1.207031999983883
2017-01-15 17:40:00+08:00,1.195319999991625
2017-01-15 17:45:00+08:00,1.218743999954313
2017-01-15 18:15:00+08:00,1.1953080000093905
2017-01-15 18:25:00+08:00,12.0
2017-01-15 18:40:00+08:00,1.2011639999946055
2017-01-15 19:00:00+08:00,1.218756000045687
2017-01-15 19:20:00+08:00,1.1953080000093905
2017-01-15 19:45:00+08:00,1.201176000009582
2017-01-15 20:05:00+08:00,12.0
2017-01-15 20:15:00+08:00,1.218743999954313
2017-01-15 20:25:00+08:00,1.207031999983883
2017-01-15 20:50:00+08:00,1.201176000009582
2017-01-15 21:25:00+08:00,1.195320000013453
2017-01-15 21:30:00+08:00,1.125
2017-01-15 21:40:00+08:00,12.0
2017-01-15 21:50:00+08:00,1.2011639999946055
2017-01-15 21:55:00+08:00,12.0
2017-01-15 22:30:00+08:00,1.207031999983883
2017-01-15 22:45:00+08:00,1.218756000045687
2017-01-15 22:55:00+08:00,1.195319999991625
2017-01-15 23:10:00+08:00,12.0
2017-01-15 23:30:00+08:00,1.1953080000093905
2017-01-15 23:55:00+08:00,2.4199079999489186
2017-01-16 00:15:00+08:00,12.0
2017-01-16 00:35:00+08:00,1.1953080000093905
2017-01-16 01:00:00+08:00,1.201176000009582
2017-01-16 01:10:00+08:00,1.218756000045687
2017-01-16 01:25:00+08:00,12.0
2017-01-16 01:35:00+08:00,1.207031999983883
2017-01-16 02:00:00+08:00,1.201176000009582
2017-01-16 02:20:00+08:00,1.218743999954313
2017-01-16 02:40:00+08:00,1.195320000013453
2017-01-16 02:50:00+08:00,12.0
2017-01-16 03:05:00+08:00,1.2011639999946055
2017-01-16 03:35:00+08:00,1.125
2017-01-16 03:40:00+08:00,1.207031999983883
2017-01-16 04:05:00+08:00,1.195319999991625
2017-01-16 04:30:00+08:00,12.0
2017-01-16 04:45:00+08:00,2.4140640000550775
2017-01-16 05:05:00+08:00,1.2011639999946055
2017-01-16 05:30:00+08:00,12.0
2017-01-16 05:45:00+08:00,1.1953080000093905
2017-01-16 06:00:00+08:00,1.218743999954313
2017-01-16 06:05:00+08:00,12.0
2017-01-16 06:10:00+08:00,1.201176000009582
2017-01-16 06:45:00+08:00,1.207031999983883
2017-01-16 07:10:00+08:00,1.201176000009582
2017-01-16 07:15:00+08:00,1.218756000045687
2017-01-16 07:45:00+08:00,12.0
2017-01-16 07:50:00+08:00,1.195320000013453
2017-01-16 08:15:00+08:00,1.2011639999946055
2017-01-16 08:30:00+08:00,1.218743999954313
2017-01-16 08:55:00+08:00,1.207031999983883
2017-01-16 09:20:00+08:00,1.195319999991625
2017-01-16 09:25:00+08:00,12.0
2017-01-16 09:45:00+08:00,1.125
2017-01-16 09:55:00+08:00,1.1953080000093905
2017-01-16 10:20:00+08:00,13.201163999994606
2017-01-16 10:55:00+08:00,1.218756000045687
2017-01-16 11:00:00+08:00,1.1953080000093905
2017-01-16 11:15:00+08:00,12.0
2017-01-16 11:25:00+08:00,1.201176000009582
2017-01-16 11:50:00+08:00,12.0
2017-01-16 12:05:00+08:00,1.207031999983883
2017-01-16 12:10:00+08:00,1.218743999954313
2017-01-16 12:25:00+08:00,12.0
2017-01-16 12:30:00+08:00,1.201176000009582
2017-01-16 13:05:00+08:00,1.195320000013453
2017-01-16 13:25:00+08:00,1.218756000045687
2017-01-16 13:30:00+08:00,1.2011639999946055
2017-01-16 13:55:00+08:00,12.0
2017-01-16 14:10:00+08:00,1.207031999983883
2017-01-16 14:35:00+08:00,2.414063999945938
2017-01-16 15:10:00+08:00,1.1953080000093905
2017-01-16 15:35:00+08:00,13.201163999994606
2017-01-16 15:50:00+08:00,1.125
2017-01-16 16:15:00+08:00,1.1953080000093905
2017-01-16 16:40:00+08:00,1.201176000009582
2017-01-16 17:00:00+08:00,1.218756000045687
2017-01-16 17:10:00+08:00,12.0
2017-01-16 17:15:00+08:00,1.207031999983883
2017-01-16 17:30:00+08:00,12.0
2017-01-16 17:40:00+08:00,1.201176000009582
2017-01-16 18:15:00+08:00,1.218743999954313
2017-01-16 18:20:00+08:00,1.195320000013453
2017-01-16 18:40:00+08:00,12.0
2017-01-16 18:45:00+08:00,1.2011639999946055
2017-01-16 19:20:00+08:00,1.207031999983883
2017-01-16 19:30:00+08:00,1.218756000045687
2017-01-16 19:50:00+08:00,13.195319999991625
2017-01-16 20:25:00+08:00,1.1953080000093905
2017-01-16 20:45:00+08:00,1.218743999954313
2017-01-16 20:50:00+08:00,1.2011639999946055
2017-01-16 21:05:00+08:00,12.0
2017-01-16 21:30:00+08:00,1.1953080000093905
2017-01-16 21:55:00+08:00,1.201176000009582
2017-01-16 22:00:00+08:00,1.125
2017-01-16 22:10:00+08:00,12.0
2017-01-16 22:30:00+08:00,1.207031999983883
2017-01-16 23:00:00+08:00,1.201176000009582
2017-01-16 23:10:00+08:00,1.218756000045687
2017-01-16 23:20:00+08:00,12.0
2017-01-16 23:35:00+08:00,13.195320000013453
2017-01-17 00:00:00+08:00,1.2011639999946055
2017-01-17 00:25:00+08:00,1.218743999954313
2017-01-17 00:40:00+08:00,1.207031999983883
2017-01-17 01:05:00+08:00,13.195319999991625
2017-01-17 01:40:00+08:00,2.4140640000550775
2017-01-17 02:05:00+08:00,1.2011639999946055
2017-01-17 02:40:00+08:00,13.19530800000939
2017-01-17 02:50:00+08:00,1.218743999954313
2017-01-17 03:10:00+08:00,1.201176000009582
2017-01-17 03:45:00+08:00,1.207031999983883
2017-01-17 04:05:00+08:00,1.125
2017-01-17 04:10:00+08:00,13.201176000009582
2017-01-17 04:45:00+08:00,1.195320000013453
2017-01-17 05:10:00+08:00,1.2011639999946055
2017-01-17 05:15:00+08:00,1.218756000045687
2017-01-17 05:45:00+08:00,13.207031999983883
2017-01-17 06:15:00+08:00,1.195319999991625
2017-01-17 06:30:00+08:00,1.218743999954313
2017-01-17 06:40:00+08:00,12.0
2017-01-17 06:50:00+08:00,1.1953080000093905
2017-01-17 07:10:00+08:00,12.0
2017-01-17 07:15:00+08:00,1.2011639999946055
2017-01-17 07:45:00+08:00,1.218756000045687
2017-01-17 07:50:00+08:00,1.1953080000093905
2017-01-17 08:20:00+08:00,13.201176000009582
2017-01-17 08:55:00+08:00,1.207031999983883
2017-01-17 09:00:00+08:00,1.218743999954313
2017-01-17 09:25:00+08:00,1.201176000009582
2017-01-17 09:30:00+08:00,12.0
2017-01-17 10:00:00+08:00,1.195320000013453
2017-01-17 10:15:00+08:00,13.125
2017-01-17 10:30:00+08:00,1.2011639999946055
2017-01-17 11:00:00+08:00,1.207031999983883
2017-01-17 11:30:00+08:00,2.414076000037312
2017-01-17 11:50:00+08:00,12.0
2017-01-17 12:05:00+08:00,1.1953080000093905
2017-01-17 12:35:00+08:00,1.2011639999946055
2017-01-17 12:40:00+08:00,1.218743999954313
2017-01-17 12:50:00+08:00,12.0
2017-01-17 13:10:00+08:00,1.1953080000093905
2017-01-17 13:25:00+08:00,12.0
2017-01-17 13:40:00+08:00,1.201176000009582
2017-01-17 13:55:00+08:00,1.218756000045687
2017-01-17 14:10:00+08:00,1.207031999983883
2017-01-17 14:40:00+08:00,1.201176000009582
2017-01-17 14:55:00+08:00,12.0
2017-01-17 15:10:00+08:00,1.218743999954313
2017-01-17 15:15:00+08:00,1.195320000013453
2017-01-17 15:45:00+08:00,1.2011639999946055
2017-01-17 16:20:00+08:00,1.207031999983883
2017-01-17 16:25:00+08:00,1.125
2017-01-17 16:35:00+08:00,12.0
